clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250516 160749	1000.0	1000	1	0.5	4.7	0	60	0.07000017166137695
20250516 160750	1000.0	1000	1	0.6	4.7	0	60	1.0700013637542725
20250516 160751	1000.0	1000	1	0.6	4.7	0	60	2.070003032684326
20250516 160752	1000.0	1000	1	0.6	4.7	0	60	3.0700042247772217
20250516 160753	1000.0	1000	1	0.6	4.7	0	60	4.070005655288696
20250516 160754	1000.0	1000	1	0.5	4.7	0	60	5.070007085800171
20250516 160755	1000.0	1000	1	0.6	4.7	0	60	6.070008277893066
20250516 160756	1000.0	1000	1	0.5	4.7	0	60	7.07000994682312
20250516 160757	1000.0	1000	1	0.5	4.7	0	60	8.070011138916016
20250516 160758	1000.0	1000	1	0.6	4.7	0	60	9.07001256942749
20250516 160759	1000.0	1000	1	0.5	4.7	0	60	10.070013999938965
20250516 160800	1000.0	1000	1	0.6	4.7	0	60	11.07001543045044
20250516 160801	1000.0	1000	1	0.5	4.7	0	60	12.070016860961914
20250516 160802	1000.0	1000	1	0.6	4.7	0	60	13.070018291473389
20250516 160803	1000.0	1000	1	0.6	4.7	0	60	14.070019483566284
20250516 160804	1000.0	1000	1	0.6	4.7	0	60	15.070021152496338
20250516 160805	1000.0	1000	1	0.6	4.7	0	60	16.070022344589233
20250516 160806	1000.0	1000	1	0.6	4.7	0	60	17.070024013519287
20250516 160807	1000.0	1000	1	0.6	4.7	0	60	18.070025205612183
20250516 160808	1000.0	1000	1	0.6	4.7	0	60	19.070026636123657
20250516 160809	1000.0	1000	1	0.6	4.7	0	60	20.070028066635132
20250516 160810	1000.0	1000	1	0.6	4.7	0	60	21.070029258728027
20250516 160811	1000.0	1000	1	0.6	4.7	0	60	22.07003092765808
20250516 160812	1000.0	1000	1	0.6	4.7	0	60	23.070032119750977
20250516 160813	1000.0	1000	1	0.6	4.7	0	60	24.07003355026245
20250516 160814	1000.0	1000	1	0.6	4.7	0	60	25.070034980773926
20250516 160815	1000.0	1000	1	0.6	4.7	0	60	26.0700364112854
20250516 160816	1000.0	1000	1	0.6	4.7	0	60	27.070037841796875
20250516 160817	1000.0	1000	1	0.6	4.7	0	60	28.07003927230835
20250516 160818	1000.0	1000	1	0.6	4.7	0	60	29.070040464401245
20250516 160819	1000.0	1000	1	0.6	4.7	0	60	30.0700421333313
20250516 160820	1000.0	1000	1	0.6	4.7	0	60	31.070043325424194
20250516 160821	1000.0	1000	1	0.6	4.7	0	60	32.07004499435425
20250516 160822	1000.0	1000	1	0.6	4.7	0	60	33.070046186447144
20250516 160823	1000.0	1000	1	0.6	4.7	0	60	34.07004761695862
20250516 160824	1000.0	1000	1	0.6	4.7	0	60	35.07004904747009
20250516 160825	1000.0	1000	1	0.6	4.7	0	60	36.07005023956299
20250516 160826	1000.0	1000	1	0.6	4.7	0	60	37.07005190849304
20250516 160827	1000.0	1000	1	0.6	4.7	0	60	38.07005310058594
20250516 160828	1000.0	1000	1	0.6	4.8	0	60	39.07005453109741
20250516 160829	1000.0	1000	1	0.6	4.7	0	60	40.07005596160889
