clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250512 165714	300.0	300	118	50.0	49.2	50	60	0.08000040054321289
20250512 165715	300.0	300	118	50.0	49.2	50	60	1.0700013637542725
20250512 165716	300.0	300	118	50.0	49.2	50	60	2.070003032684326
20250512 165717	300.0	300	118	50.0	49.2	50	60	3.0700042247772217
20250512 165718	300.0	300	118	50.0	49.2	50	60	4.070005893707275
20250512 165719	300.0	300	118	50.0	49.2	50	60	5.070007085800171
20250512 165720	300.0	300	118	50.0	49.2	50	60	6.0700085163116455
20250512 165721	300.0	300	118	50.0	49.2	50	60	7.07000994682312
20250512 165722	300.0	300	118	50.0	49.2	50	60	8.070011377334595
20250512 165723	300.0	300	118	50.0	49.2	50	60	9.07001280784607
20250512 165724	300.0	300	118	50.0	49.2	50	60	10.070013999938965
20250512 165725	300.0	300	118	50.0	49.2	50	60	11.07001543045044
20250512 165726	300.0	300	118	50.0	49.2	50	60	12.070016860961914
20250512 165727	300.0	300	118	50.0	49.2	50	60	13.070018291473389
20250512 165728	300.0	300	118	50.0	49.2	50	60	14.070019721984863
20250512 165729	300.0	300	118	50.0	49.2	50	60	15.070021152496338
20250512 165730	300.0	300	118	50.0	49.2	50	60	16.070022344589233
20250512 165731	300.0	300	118	50.0	49.2	50	60	17.070024013519287
20250512 165732	300.0	300	118	50.0	49.2	50	60	18.070025205612183
20250512 165733	300.0	300	118	50.0	49.2	50	60	19.070026874542236
20250512 165734	300.0	300	118	50.0	49.2	50	60	20.070028066635132
20250512 165735	300.0	300	118	50.0	49.2	50	60	21.070029497146606
20250512 165736	300.0	300	118	50.0	49.2	50	60	22.07003092765808
20250512 165737	300.0	300	118	50.0	49.2	50	60	23.070032358169556
20250512 165738	300.0	300	118	50.0	49.2	50	60	24.07003378868103
20250512 165739	300.0	300	118	50.0	49.2	50	60	25.070034980773926
20250512 165740	300.0	300	118	50.0	49.2	50	60	26.0700364112854
20250512 165741	300.0	300	118	50.0	49.2	50	60	27.070037841796875
20250512 165742	300.0	300	118	50.0	49.2	50	60	28.07003927230835
20250512 165743	300.0	300	118	50.0	49.2	50	60	29.070040702819824
20250512 165744	300.0	300	118	50.0	49.2	50	60	30.0700421333313
20250512 165745	300.0	300	118	50.0	49.2	50	60	31.070043325424194
