eid,id,rab,class,tails,hydrox,carbon,dbonds,rt,hydrsn1,carbsn1,dbonsn1,hydrsn2,carbsn2,dbonsn2,hydrsn3,carbsn3,dbonsn3,stereo,annot,frac_molar_2,group
250C,CL 64:0_29.21 | 16:0_16:0_16:0_16:0,0.048874073,CL,1,NA,64,0,29.21,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:0,1.34906E-05,250bar
1A,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.021139067,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,5.83497E-06,1bar
1C,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.022476303,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,6.20408E-06,1bar
250A,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.027422753,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,7.56944E-06,250bar
250B,CL 64:1_28.94 | 14:0_16:0_16:0_18:1,0.060309581,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_16:0_18:1,1.66471E-05,250bar
1B,CL 64:1_28.94 | 14:0_16:0_17:0_17:1,0.009777815,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:0_17:1,2.69895E-06,1bar
250A,CL 64:1_28.94 | 14:0_16:0_17:0_17:1,0.01931378,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:0_17:1,5.33114E-06,250bar
250B,CL 64:1_28.94 | 14:0_16:0_17:0_17:1,0.004622107,CL,1,NA,64,1,28.94,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:0_17:1,1.27583E-06,250bar
1A,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.066182419,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,1.82682E-05,1bar
1B,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.044561876,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,1.23003E-05,1bar
1C,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.05694679,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,1.57189E-05,1bar
250A,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.066192401,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,1.82709E-05,250bar
250B,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.092968877,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,2.5662E-05,250bar
250C,CL 64:1_28.94 | 15:0_16:0_16:0_17:1,0.04849144,CL,1,NA,64,1,28.94,NA,15,0,NA,16,0,NA,NA,NA,FALSE,15:0_16:0_16:0_17:1,1.3385E-05,250bar
1A,CL 64:1_28.94 | 16:0_16:0_16:0_16:1,0.037632834,CL,1,NA,64,1,28.94,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:1,1.03877E-05,1bar
1B,CL 64:1_28.94 | 16:0_16:0_16:0_16:1,0.041218921,CL,1,NA,64,1,28.94,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:1,1.13776E-05,1bar
1C,CL 64:1_28.94 | 16:0_16:0_16:0_16:1,0.035596479,CL,1,NA,64,1,28.94,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:1,9.82562E-06,1bar
250A,CL 64:1_28.94 | 16:0_16:0_16:0_16:1,0.046232557,CL,1,NA,64,1,28.94,NA,16,0,NA,16,0,NA,NA,NA,FALSE,16:0_16:0_16:0_16:1,1.27615E-05,250bar
1A,CL 64:2_28.73 | 14:0_16:0_17:1_17:1,0.125377711,CL,1,NA,64,2,28.73,NA,14,0,NA,16,0,NA,NA,NA,FALSE,14:0_16:0_17:1_17:1,3.46077E-05,1bar
