eid	id	rab	class	tails	hydrox	carbon	dbonds	rt	hydrsn1	carbsn1	dbonsn1	hydrsn2	carbsn2	dbonsn2	hydrsn3	carbsn3	dbonsn3	stereo	annot	frac_molar_2	group	sp	collection	depth
1A	PE 37:1_23.32 | 18:0/19:1	2.09395863	PE	2	NA	37	1	23.32	NA	18	0	NA	19	1	NA	NA	NA	TRUE	18:0/19:1	5.77991e-4	1bar	Ecoli	NA	1
1A	PE 37:2_20.08 | 18:1/19:1	0.282432671	PE	2	NA	37	2	20.08	NA	18	1	NA	19	1	NA	NA	NA	TRUE	18:1/19:1	7.79593e-5	1bar	Ecoli	NA	1
1A	PE 37:2_20.78 | 17:1_20:1	0.051778528	PE	2	NA	37	2	20.78	NA	17	1	NA	20	1	NA	NA	NA	FALSE	17:1_20:1	1.42923e-5	1bar	Ecoli	NA	1
1A	PE 37:2_20.78 | 18:1/19:1	0.675098198	PE	2	NA	37	2	20.78	NA	18	1	NA	19	1	NA	NA	NA	TRUE	18:1/19:1	1.86346e-4	1bar	Ecoli	NA	1
1A	PE 38:2_22.46 | 19:1/19:1	14.23269799	PE	2	NA	38	2	22.46	NA	19	1	NA	19	1	NA	NA	NA	TRUE	19:1/19:1	0.00392862	1bar	Ecoli	NA	1
1A	PG 28:0_10.25 | 14:0/14:0	0.1112806	PG	2	NA	28	0	10.25	NA	14	0	NA	14	0	NA	NA	NA	TRUE	14:0/14:0	3.07165e-5	1bar	Ecoli	NA	1
1A	PG 28:0_10.25 | 16:0/12:0	0.044484635	PG	2	NA	28	0	10.25	NA	16	0	NA	12	0	NA	NA	NA	TRUE	16:0/12:0	1.2279e-5	1bar	Ecoli	NA	1
1A	PG 29:0_10.91 | 14:0_15:0	0.010667541	PG	2	NA	29	0	10.91	NA	14	0	NA	15	0	NA	NA	NA	FALSE	14:0_15:0	2.94454e-6	1bar	Ecoli	NA	1
1A	PG 29:0_10.91 | 16:0/13:0	0.020962046	PG	2	NA	29	0	10.91	NA	16	0	NA	13	0	NA	NA	NA	TRUE	16:0/13:0	5.78611e-6	1bar	Ecoli	NA	1
1A	PG 30:0_11.73 | 16:0/14:0	6.235122305	PG	2	NA	30	0	11.73	NA	16	0	NA	14	0	NA	NA	NA	TRUE	16:0/14:0	0.001721067	1bar	Ecoli	NA	1
1A	PG 30:1_10.66 | 16:0/14:1	0.087580606	PG	2	NA	30	1	10.66	NA	16	0	NA	14	1	NA	NA	NA	TRUE	16:0/14:1	2.41747e-5	1bar	Ecoli	NA	1
1A	PG 31:0_12.66 | 15:0_16:0	0.259007629	PG	2	NA	31	0	12.66	NA	15	0	NA	16	0	NA	NA	NA	FALSE	15:0_16:0	7.14933e-5	1bar	Ecoli	NA	1
1A	PG 31:1_11.38 | 14:0/17:1	0.430782419	PG	2	NA	31	1	11.38	NA	14	0	NA	17	1	NA	NA	NA	TRUE	14:0/17:1	1.18908e-4	1bar	Ecoli	NA	1
