### DATA:
#
# 1786
#      Q             I(Q)           Error     
1.06204562E-02  1.00078878E+01  1.72124729E-01
1.09114276E-02  9.01645184E+00  1.65400147E-01
1.12023990E-02  8.11630917E+00  1.40366808E-01
1.14933704E-02  7.36392021E+00  1.21071152E-01
1.17843418E-02  6.78134966E+00  1.31224945E-01
1.20753132E-02  6.13942814E+00  1.05132811E-01
1.23662846E-02  5.51567602E+00  8.16379264E-02
1.26572560E-02  5.09944725E+00  7.18972087E-02
1.29482274E-02  4.68075895E+00  7.06910193E-02
1.32391988E-02  4.41404247E+00  7.23501891E-02
1.35301702E-02  3.97834349E+00  5.85987084E-02
1.38211416E-02  3.72835827E+00  5.62370569E-02
1.41121131E-02  3.40975094E+00  4.29839753E-02
1.44030845E-02  3.26276851E+00  4.22682501E-02
1.46940559E-02  3.09796929E+00  4.28087339E-02
1.49850273E-02  2.85501933E+00  4.11162488E-02
1.52759987E-02  2.71957493E+00  4.52009402E-02
1.55669701E-02  2.52206039E+00  3.48797143E-02
1.58579415E-02  2.43510175E+00  3.32221277E-02
1.61489129E-02  2.28765798E+00  3.44614647E-02
1.64398843E-02  2.11621809E+00  2.81703640E-02
1.67308557E-02  1.98435903E+00  3.12202461E-02
1.70218271E-02  1.94018555E+00  2.94265095E-02
1.73127985E-02  1.84872019E+00  2.57792566E-02
1.76037699E-02  1.78981447E+00  2.46752575E-02
1.78947413E-02  1.68359244E+00  1.98115930E-02
1.81857127E-02  1.57319629E+00  2.04281472E-02
1.84766841E-02  1.52133310E+00  1.78026110E-02
1.87676555E-02  1.44791245E+00  1.98432095E-02
1.90586269E-02  1.39767396E+00  1.79556236E-02
1.93495983E-02  1.31319523E+00  1.51188066E-02
1.96405697E-02  1.24348760E+00  1.74343456E-02
1.99315411E-02  1.23674679E+00  1.59516931E-02
2.02225125E-02  1.22261786E+00  1.54277235E-02
2.05134839E-02  1.16332185E+00  1.59397796E-02
2.08044553E-02  1.11379695E+00  1.62233748E-02
