SoyPI_062925_Ex340_Em440,,SoyPI_062925_Ex340_Em490,,
Time (min),Intensity (a.u.),Time (min),Intensity (a.u.),
29.50416756,481.1873169,29.51447868,363.3875732,
30.00416756,478.0232544,30.01447868,359.4212341,
30.50416756,476.5667419,30.51447868,357.7704468,
31.00416756,479.1954346,31.01447868,363.3379822,
31.50416756,473.4824829,31.51447868,360.9646606,
32.00416565,462.3399048,32.01448059,356.757782,
32.50416565,455.3407288,32.51448059,356.6427612,
33.00416565,457.1212769,33.01448059,359.9449768,
33.50416565,450.6386108,33.51448059,365.4227295,
34.00416565,441.5036316,34.01448059,368.0848389,
34.50416565,428.5216064,34.51447678,366.7175598,
35.00416565,428.3986206,35.01447678,360.8840027,
35.50416565,420.5823059,35.51447678,365.5206604,
36.00416565,418.7744446,36.01454163,362.9723816,
36.50416565,407.7521057,36.51447678,365.522522,
37.00416565,414.1990356,37.01447678,364.5021973,
37.50416565,401.2666016,37.51447678,362.471344,
38.00416565,395.9925232,38.01447678,361.4749146,
38.50416565,405.8719482,38.51447678,364.4077759,
39.00416565,397.1763916,39.01447678,361.9038391,
39.50416565,401.8403625,39.51447678,366.1651611,
40.00416565,386.8759155,40.01447678,360.93927,
40.50416565,388.7847595,40.51447678,367.5937805,
41.00416565,388.1708984,41.01447678,363.181427,
41.50416565,386.8334961,41.51447678,364.3233032,
42.00416565,387.8042297,42.01447678,359.1468506,
42.50416565,387.1960144,42.51447678,363.772583,
43.00416565,383.1100159,43.01447678,368.5180664,
43.50416565,382.9189453,43.51447678,365.4625854,
44.00416565,381.93573,44.01447678,365.1491089,
44.50416565,380.5765991,44.51447678,365.1965332,
45.00416565,378.944519,45.01447678,362.4007568,
45.50416565,384.532074,45.51447678,358.3283081,
46.00416565,377.5351563,46.01447678,362.7731018,
46.50416565,376.844696,46.51447678,367.7784729,
47.00416565,381.2558289,47.01447678,359.5852356,
47.50416565,375.5249023,47.51447678,360.2504883,
48.00416565,374.4544678,48.01447678,361.4110413,
48.50416565,384.1260986,48.51447678,363.5184937,
49.00416565,383.62854,49.01447678,360.4057007,
49.50416565,376.120575,49.51447678,362.6611023,
50.00416565,374.7214966,50.01454163,360.4025574,
50.50416565,377.226532,50.51447678,359.8041687,
51.00416565,381.732605,51.01447678,357.5317688,
51.50416565,378.0188293,51.51447678,368.232605,
52.00416565,379.9565125,52.01447678,362.4012451,
52.50416565,369.7591858,52.51454163,362.5018005,
53.00416565,380.8433533,53.01447678,363.3981628,
53.50416565,372.2601929,53.51447678,361.4994507,
54.00416565,369.2433472,54.01447678,364.9573059,
54.50416565,374.5971069,54.51447678,365.8986206,
55.00416565,375.0811157,55.01447678,368.7644958,
55.50416565,371.447998,55.51447678,361.5906982,
56.00416565,370.808075,56.01447678,372.1110229,
56.50416565,373.5233459,56.51447678,368.4606323,
57.00416565,369.9716797,57.01447678,365.9760742,
57.50416565,371.6411438,57.51447678,367.43396,
58.00416565,369.3266907,58.01447678,370.1495972,
58.50416565,361.5541687,58.51447678,374.0290222,
59.00416565,364.8161621,59.01447678,371.2806091,
59.50416565,368.3709106,59.51447678,367.526123,
60.00416565,367.0837097,60.01447678,371.3008423,
60.50416565,358.9734497,60.51447678,379.4341431,
61.00416565,357.2168274,61.01447678,371.1507263,
61.50416565,364.9994812,61.51447678,372.553009,
62.00416565,360.2446899,62.01447678,367.9831238,
62.50416565,358.145813,62.51447678,372.4721375,
63.00416565,357.6376343,63.01447678,368.9391785,
63.50416565,366.138031,63.51447678,363.1273499,
64.00416565,363.0769043,64.01448059,368.785553,
64.50416565,367.4009094,64.51448059,372.0565796,
65.00416565,370.950592,65.01448059,364.4987793,
65.50416565,362.6699219,65.51448059,366.3912659,
66.00416565,361.0157471,66.01448059,372.3916321,
66.50416565,372.008728,66.51448059,374.0787354,
67.00416565,367.7233887,67.01448059,361.7291565,
67.50416565,364.0212708,67.51448059,367.0905762,
68.00416565,365.5778809,68.01448059,368.4521179,
68.50416565,355.6833191,68.51448059,367.7771606,
69.00416565,370.002594,69.01448059,367.5231018,
69.50416565,369.3334045,69.51448059,361.9228821,
70.00416565,369.9839172,70.01448059,366.6874695,
70.50416565,362.4254456,70.51448059,361.3624573,
71.00416565,373.7054443,71.01448059,371.1332703,
71.50416565,380.0205688,71.51448059,358.4266357,
72.00416565,378.8715515,72.01448059,360.7419128,
72.50416565,374.5544739,72.51448059,363.6033325,
73.00416565,372.758606,73.01448059,362.831543,
73.50416565,373.7874451,73.51448059,360.2882385,
74.00416565,377.2559814,74.01448059,364.4154053,
74.50416565,373.9778442,74.51448059,365.5359192,
75.00416565,375.5375671,75.01448059,364.1653748,
75.50416565,366.0439758,75.51448059,362.5311584,
76.00416565,365.4923096,76.01448059,359.5661011,
76.50416565,356.0577393,76.51448059,368.111908,
77.00416565,353.1000366,77.01448059,364.9229736,
77.50416565,344.1366272,77.51448059,363.2366333,
78.00416565,335.524292,78.01448059,359.3808594,
78.50416565,336.8283081,78.51448059,357.7878418,
79.00416565,328.3582153,79.01448059,357.1229248,
79.50416565,325.5697327,79.51448059,357.7727356,
80.00416565,319.1313782,80.01448059,356.3798828,
80.50416565,310.4832458,80.51448059,352.8158569,
81.00416565,300.7824402,81.01448059,356.4462891,
81.50416565,304.2013245,81.51454163,352.7804565,
82.00416565,304.4533081,82.01448059,351.3786011,
82.50416565,292.711731,82.51448059,352.5783997,
83.00416565,294.1002502,83.01454163,346.9335632,
83.50416565,293.7346497,83.51448059,355.2498779,
84.00416565,286.1307068,84.01448059,351.7190857,
84.50416565,289.9129944,84.51448059,349.1793213,
85.00416565,290.9088745,85.01454163,353.4156494,
85.50416565,294.8891296,85.51448059,349.1863403,
86.00416565,286.0055847,86.01448059,350.4301758,
86.50416565,285.0641174,86.51448059,347.9791565,
87.00416565,284.5122681,87.01448059,351.3406982,
87.50416565,284.046814,87.51454163,346.296814,
88.00416565,282.4028015,88.01448059,341.0291443,
88.50416565,286.8158569,88.51448059,348.4958801,
89.00416565,284.9848633,89.01448059,353.7417297,
89.50416565,286.0195618,89.51448059,345.9666443,
90.00416565,286.7088318,90.01448059,345.8772583,
90.50416565,284.2696838,90.51448059,345.0681152,
91.00416565,277.090332,91.01448059,347.0726013,
91.50416565,286.651947,91.51448059,349.6654663,
92.00416565,281.018158,92.01448059,346.1496887,
92.50416565,279.9629517,92.51448059,350.2225342,
93.00416565,279.1964722,93.01448059,347.5479736,
93.50416565,283.4771118,93.51448059,347.3812561,
94.00416565,276.7533569,94.01448059,348.6136475,
94.50416565,278.0115356,94.51448059,347.9876404,
95.00416565,278.3547058,95.01448059,352.6264954,
95.50416565,280.8353271,95.51448059,348.1168518,
96.00416565,278.3867188,96.01448059,348.0197754,
96.50416565,280.4266663,96.51448059,345.3478088,
97.00416565,277.6860657,97.01448059,342.3424683,
97.50416565,277.5788574,97.51448059,342.4713745,
98.00416565,283.8891602,98.01448059,346.5433044,
98.50416565,274.9507751,98.51454163,350.2193909,
99.00416565,285.1385193,99.01448059,348.02005,
99.50416565,283.8701172,99.51448059,343.638092,
100.0041656,279.520874,100.0144806,348.9469604,
100.5041656,281.6393738,100.5144806,350.3127441,
101.0041656,275.9111328,101.0144806,343.5091248,
101.5041656,281.4966431,101.5144806,346.552948,
102.0041656,283.9247437,102.0144806,339.8117981,
102.5041656,283.3723145,102.5144806,340.7974548,
103.0041656,282.833313,103.0144806,346.8532715,
103.5041656,281.481842,103.5144806,350.3239746,
104.0041656,284.6790161,104.0144806,348.6190186,
104.5041656,279.3140259,104.5144806,347.6306152,
105.0041656,282.1098022,105.0144806,353.5809326,
105.5041656,288.5036926,105.5144806,351.1904297,
106.0041656,282.2789612,106.0144806,349.0180969,
106.5041656,288.3332825,106.5144806,344.813385,
107.0041656,286.0957642,107.0144806,357.7250671,
107.5041656,285.0937805,107.5144806,357.9779358,
108.0041656,286.4562378,108.0144806,356.9656067,
108.5041656,286.8589172,108.5144806,358.0935669,
109.0041656,287.9103699,109.0144806,355.6575317,
109.5041656,282.517334,109.5144806,354.9608765,
110.0041656,282.2579651,110.0144806,356.2932434,
110.5041656,283.119751,110.5144806,356.8268127,
111.0041656,278.8172302,111.0144806,354.1048584,
111.5041656,276.5048828,111.5144806,354.1236877,
112.0041656,276.4353638,112.0144806,359.1708069,
112.5041656,273.1836243,112.5144806,364.4310608,
113.0041656,276.1592712,113.0144806,359.6496582,
113.5041656,277.9592285,113.5144806,361.2666626,
114.0041656,278.8566895,114.0144806,360.4937439,
114.5041656,281.7777405,114.5144806,354.3738708,
115.0041656,275.5610962,115.0144806,357.653717,
115.5041656,280.4923401,115.5144806,355.4124146,
116.0041656,283.0409241,116.0144806,348.7237244,
116.5041656,277.8817749,116.5144806,358.5248718,
117.0041656,281.5604248,117.0144806,354.8509521,
117.5041656,280.7437744,117.5144806,351.0555115,
