time (s),POPE A,POPE B,POPE C,SoyPI A,SoyPI B,SoyPI C,xPE A,xPE B,xPE C,POPG A,POPG B,POPG C
4.05,0.040452965,0.057238223,0.040292803,0.012662129,0.041176658,0.011172251,0.005274518,0.008179815,-0.000777835,0.022949544,0.010269617,-0.000222842
4.15,0.043171649,0.060525951,0.044604988,0.021870377,0.020501879,0.018635162,0.018991538,0.008806919,-0.004039028,0.020177365,-0.006411936,0.003019157
4.25,0.038307782,0.05431252,0.052402417,0.020346647,0.03220939,0.022985985,0.01330845,0.009013288,-0.004507314,0.015798642,0.000785415,-0.006750976
4.35,0.039338585,0.048021948,0.061117574,0.009610717,0.029013952,0.034936224,0.025224051,0.003364498,-0.003562501,0.007181228,0.013209359,-0.001096339
4.45,0.030403554,0.050475475,0.04198712,0.029620576,0.017639787,0.018054142,0.008310943,0.001583972,-0.004525545,0.011101046,-0.007538885,-0.004422316
4.55,0.041460349,0.059796951,0.03840585,0.016804904,0.01957251,0.029307518,0.015491225,-0.002852367,-0.001178509,0.014254975,0.013437592,-0.012008375
4.65,0.051333853,0.064431135,0.059648721,0.020893738,0.021192909,0.030859972,0.005207492,0.001792646,-0.003666536,0.020654969,-0.001681394,-0.00780059
4.75,0.052110416,0.036787091,0.06163367,0.037678829,0.022549755,0.027865704,0.0084013,0.002862315,-0.005834955,0.023138435,0.00063246,0.004083765
4.85,0.056922211,0.063713516,0.055437487,0.02596239,0.016529444,0.017300191,0.018199361,0.003239039,0.008024722,0.026198901,0.003768092,-0.009299114
4.95,0.056073674,0.074233818,0.057780432,0.031198822,0.014128081,0.031391296,0.00716835,9.94391E-05,-0.000468254,0.004707572,-0.001824526,0.006849935
5.05,0.059770321,0.067507723,0.051511217,0.039655993,0.021693525,0.033747116,0.002636588,0.009533212,0.00141363,0.015753147,0.005315816,-0.015098945
5.15,0.046738074,0.05671428,0.036225573,0.034267044,0.017606461,0.050916654,0.002189635,-0.001292313,-0.00234467,0.007979923,0.004702671,0.001295241
5.25,0.04570607,0.073963805,0.051808074,0.020521787,0.015595972,0.032226877,0.002689029,0.002327609,0.004561808,0.019061992,0.001631193,-0.018997931
5.35,0.054448823,0.061448537,0.058441771,0.019309232,0.013150403,0.030810702,0.008757858,-0.002676148,0.002972853,0.016392213,-0.0092549,0.002877053
5.45,0.059472337,0.073260784,0.076168976,0.018907887,0.043858779,0.035898323,-0.002195926,-0.00124445,0.007515,0.016085788,0.0086514,0.001757923
