Sample 9,,
Wavelength (nm),Intensity (a.u.),
400,38.94297791,
401.9599915,46.974617,
403.9299927,62.44858932,
406.0599976,76.61190033,
408.0299988,93.38521576,
410,122.9208603,
412,155.2854309,
414,184.1022186,
416,222.4115143,
418,251.3345184,
420,299.9745178,
421.9599915,333.5671082,
423.9299927,402.4967041,
426.0599976,418.4529419,
428.0299988,469.2522583,
430,510.2597961,
432,532.1618652,
434,566.4863281,
436,577.958374,
438,597.3017578,
440,614.4259644,
441.9599915,638.6110229,
443.9299927,633.6270752,
446.0599976,640.1851807,
448.0299988,631.5117798,
450,650.7906494,
451.9599915,624.758728,
453.9299927,607.8578491,
456.0599976,611.0239258,
458.0299988,591.2225952,
460,572.586731,
461.9599915,573.4526367,
463.9299927,573.1676636,
466.0599976,550.3601685,
468.0299988,512.6449585,
470,511.9622803,
471.9400024,492.9341736,
474.019989,453.3882446,
475.9700012,451.8789673,
478.0499878,428.562561,
480,422.4486084,
481.9599915,392.9266968,
483.9299927,366.9051208,
486.0599976,351.2823486,
488.0299988,320.9627686,
490,318.1274719,
491.9400024,304.4753723,
494.019989,283.1858521,
495.9700012,270.3952637,
498.0499878,263.3519897,
500,242.207428,
501.9599915,231.3369141,
503.9299927,205.0088043,
506.0599976,205.7040405,
508.0299988,185.8495941,
510,167.3132324,
511.9400024,153.8318024,
514.0200195,146.3474731,
515.9699707,141.0698853,
518.0499878,139.3188782,
520,133.1013489,
521.9400024,113.8109055,
524.0200195,126.671669,
525.9699707,103.7493896,
528.0499878,96.53157806,
530,93.06147003,
531.9400024,79.7221756,
534.0200195,85.77057648,
535.9699707,79.55608368,
538.0499878,84.38027954,
540,75.73812103,
542.0499878,68.99132538,
543.9699707,62.41823959,
546.0200195,50.62076187,
547.9400024,52.0753746,
550,48.30733871,
551.9400024,43.45632172,
554.0200195,36.28595352,
555.9699707,37.89974594,
558.0499878,38.22019196,
560,33.05784988,
562.0499878,33.06373215,
563.9699707,35.77121735,
566.0200195,32.96423721,
567.9400024,33.48849487,
570,28.24965286,
571.9400024,26.70831299,
574.0200195,31.3277626,
575.9699707,26.26036644,
578.0499878,25.43136597,
580,21.1650486,
582.0499878,24.32344246,
583.9699707,24.47574806,
586.0200195,18.80064774,
587.9400024,23.25880241,
590,22.33542252,
592.0499878,20.18886375,
593.9699707,22.60914803,
596.0200195,19.03480148,
597.9400024,19.34235954,
600,18.12535667,

Sample 9,
Sample 9
Collection Time: 5/12/2025 10:50:23 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY15240001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               340.00
Ex. Slit (nm)                     2.5
Em. Slit (nm)                     5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 5/9/2025 6:30:17 PM
Method Modifications:
PMT Volts Changed: 5/9/2025 6:56:16 PM, Old:600, New:800
Autoconvert Changed: 5/9/2025 6:56:16 PM, Old:None, New:Ascii with Log
Scan Control Changed: 5/9/2025 6:56:16 PM, Old:Medium, New:Fast
Emission PMT (V): Changed: 5/9/2025 6:56:16 PM, Old: 600, New: 800
Excitation Wavelength Changed: 5/9/2025 6:56:16 PM, Old: 350.00, New: 340.00
Data interval: Changed: 5/9/2025 6:56:16 PM, Old:   1.00, New:   2.00
Ex. Slit Width (nm): Changed: 5/9/2025 6:57:13 PM, Old:5, New:2.5
PMT Volts Changed: 5/10/2025 2:26:34 PM, Old:800, New:1000
Emission PMT (V): Changed: 5/10/2025 2:26:34 PM, Old: 800, New:1000
PMT Volts Changed: 5/10/2025 2:26:57 PM, Old:1000, New:850
Emission PMT (V): Changed: 5/10/2025 2:26:57 PM, Old:1000, New: 850
PMT Volts Changed: 5/11/2025 1:48:05 PM, Old:850, New:800
Emission PMT (V): Changed: 5/11/2025 1:48:05 PM, Old: 850, New: 800
PMT Volts Changed: 5/11/2025 1:48:42 PM, Old:800, New:850
Emission PMT (V): Changed: 5/11/2025 1:48:42 PM, Old: 800, New: 850
PMT Volts Changed: 5/12/2025 10:50:12 AM, Old:850, New:800
Emission PMT (V): Changed: 5/12/2025 10:50:12 AM, Old: 850, New: 800
End Method Modifications

