clock	press_act	press_set	state	temp_ext	temp_int	temp_set	time	watch
20250627 130502	1000.0	1000	1	0.7	5.7	0	60	0.07000017166137695
20250627 130503	1000.0	1000	1	0.7	5.7	0	60	1.0700016021728516
20250627 130504	1000.0	1000	1	0.7	5.7	0	60	2.0600030422210693
20250627 130505	1000.0	1000	1	0.7	5.7	0	60	3.060004472732544
20250627 130506	1000.0	1000	1	0.7	5.7	0	60	4.0600056648254395
20250627 130507	1000.0	1000	1	0.7	5.7	0	60	5.060007333755493
20250627 130508	1000.0	1000	1	0.7	5.7	0	60	6.060008525848389
20250627 130509	1000.0	1000	1	0.7	5.7	0	60	7.060010194778442
20250627 130510	1000.0	1000	1	0.7	5.7	0	60	8.060011386871338
20250627 130511	1000.0	1000	1	0.7	5.7	0	60	9.060012817382812
20250627 130512	1000.0	1000	1	0.7	5.7	0	60	10.060014247894287
20250627 130513	1000.0	1000	1	0.7	5.6	0	60	11.060015439987183
20250627 130514	1000.0	1000	1	0.7	5.7	0	60	12.060017108917236
20250627 130515	1000.0	1000	1	0.7	5.6	0	60	13.060018301010132
20250627 130516	1000.1	1000	1	0.7	5.6	0	60	14.060019731521606
20250627 130517	1000.1	1000	1	0.7	5.6	0	60	15.060021162033081
20250627 130518	1000.0	1000	1	0.7	5.6	0	60	16.060022592544556
20250627 130519	1000.0	1000	1	0.7	5.6	0	60	17.06002402305603
20250627 130520	1000.1	1000	1	0.7	5.6	0	60	18.060025453567505
20250627 130521	1000.0	1000	1	0.7	5.6	0	60	19.0600266456604
20250627 130522	1000.0	1000	1	0.7	5.6	0	60	20.060028314590454
20250627 130523	1000.0	1000	1	0.7	5.6	0	60	21.06002950668335
20250627 130524	1000.0	1000	1	0.7	5.6	0	60	22.060031175613403
20250627 130525	1000.0	1000	1	0.7	5.6	0	60	23.0600323677063
20250627 130526	1000.0	1000	1	0.7	5.6	0	60	24.060033798217773
20250627 130527	1000.0	1000	1	0.7	5.6	0	60	25.060035228729248
20250627 130528	1000.0	1000	1	0.7	5.6	0	60	26.060036420822144
20250627 130529	1000.0	1000	1	0.7	5.6	0	60	27.060038089752197
20250627 130530	1000.0	1000	1	0.7	5.6	0	60	28.060039281845093
20250627 130531	1000.0	1000	1	0.7	5.6	0	60	29.060040712356567
20250627 130532	1000.0	1000	1	0.7	5.6	0	60	30.060042142868042
20250627 130533	1000.0	1000	1	0.7	5.6	0	60	31.060043573379517
20250627 130534	1000.0	1000	1	0.7	5.6	0	60	32.06004500389099
20250627 130535	1000.0	1000	1	0.7	5.6	0	60	33.060046434402466
20250627 130536	1000.0	1000	1	0.7	5.6	0	60	34.06004762649536
20250627 130537	1000.0	1000	1	0.7	5.6	0	60	35.060049295425415
20250627 130538	1000.0	1000	1	0.7	5.6	0	60	36.06005048751831
20250627 130539	1000.0	1000	1	0.7	5.6	0	60	37.060052156448364
20250627 130540	1000.0	1000	1	0.7	5.6	0	60	38.06005334854126
20250627 130541	1000.0	1000	1	0.7	5.6	0	60	39.060054779052734
20250627 130542	1000.0	1000	1	0.7	5.6	0	60	40.06005620956421
20250627 130543	1000.0	1000	1	0.7	5.6	0	60	41.060057640075684
20250627 130544	1000.0	1000	1	0.7	5.6	0	60	42.06005907058716
20250627 130545	1000.0	1000	1	0.7	5.6	0	60	43.060060262680054
20250627 130546	1000.0	1000	1	0.7	5.6	0	60	44.06006169319153
20250627 130547	1000.0	1000	1	0.7	5.6	0	60	45.060063123703
20250627 130548	1000.0	1000	1	0.7	5.6	0	60	46.06006455421448
20250627 130549	1000.0	1000	1	0.7	5.6	0	60	47.06006598472595
20250627 130550	1000.0	1000	1	0.7	5.6	0	60	48.06006741523743
20250627 130551	1000.0	1000	1	0.7	5.6	0	60	49.06006860733032
20250627 130552	1000.0	1000	1	0.7	5.6	0	60	50.060070276260376
20250627 130553	1000.0	1000	1	0.7	5.6	0	60	51.06007146835327
20250627 130554	1000.0	1000	1	0.7	5.5	0	60	52.060073137283325
20250627 130555	1000.0	1000	1	0.7	5.6	0	60	53.06007432937622
20250627 130556	1000.0	1000	1	0.7	5.5	0	60	54.060075998306274
20250627 130557	1000.0	1000	1	0.7	5.5	0	60	55.06007719039917
