Sample 1,,
Wavelength (nm),Intensity (a.u.),
400,88.72431946,
401.9599915,116.1194305,
403.9299927,141.941391,
406.0599976,183.1390991,
408.0299988,245.7074432,
410,301.1031189,
412,373.0733032,
414,482.5028076,
416,589.5684814,
418,720.1625977,
420,889.742981,
421.9599915,1000,
423.9299927,1000,
426.0599976,1000,
428.0299988,1000,
430,1000,
432,1000,
434,1000,
436,1000,
438,1000,
440,1000,
441.9599915,1000,
443.9299927,1000,
446.0599976,1000,
448.0299988,1000,
450,1000,
451.9599915,1000,
453.9299927,1000,
456.0599976,1000,
458.0299988,1000,
460,1000,
461.9599915,1000,
463.9299927,1000,
466.0599976,1000,
468.0299988,1000,
470,1000,
471.9400024,1000,
474.019989,1000,
475.9700012,1000,
478.0499878,1000,
480,1000,
481.9599915,1000,
483.9299927,1000,
486.0599976,1000,
488.0299988,969.0133667,
490,897.2077026,
491.9400024,842.9910278,
494.019989,804.4014893,
495.9700012,766.0837402,
498.0499878,697.4350586,
500,681.314209,
501.9599915,620.9315796,
503.9299927,559.0445557,
506.0599976,523.5213623,
508.0299988,494.5038452,
510,477.1363831,
511.9400024,424.8870239,
514.0200195,406.3225403,
515.9699707,383.3725281,
518.0499878,367.467804,
520,353.4384766,
521.9400024,328.9368896,
524.0200195,296.7687073,
525.9699707,280.6205444,
528.0499878,255.8521576,
530,247.9284515,
531.9400024,239.5741272,
534.0200195,222.4388733,
535.9699707,230.0235901,
538.0499878,209.5478973,
540,205.108902,
542.0499878,192.5487518,
543.9699707,178.6618042,
546.0200195,170.5481567,
547.9400024,150.4801941,
550,140.2435913,
551.9400024,129.9140015,
554.0200195,118.3316727,
555.9699707,115.9576111,
558.0499878,103.1606445,
560,105.0783615,
562.0499878,104.9564209,
563.9699707,96.94008636,
566.0200195,94.69181824,
567.9400024,92.46317291,
570,92.35333252,
571.9400024,89.72373962,
574.0200195,84.64401245,
575.9699707,83.37895966,
578.0499878,78.4831543,
580,76.11299133,
582.0499878,72.41482544,
583.9699707,71.51412201,
586.0200195,66.85209656,
587.9400024,66.891922,
590,72.70864868,
592.0499878,75.56214142,
593.9699707,68.9109726,
596.0200195,73.59264374,
597.9400024,70.86846924,
600,59.26967621,

Sample 1,
Sample 1
Collection Time: 5/9/2025 6:56:46 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          MY15240001
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        400.00
Stop (nm)                         600.00
Ex. Wavelength (nm)               340.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                1200.00
Data interval (nm)                2.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   High
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 5/9/2025 6:30:17 PM
Method Modifications:
PMT Volts Changed: 5/9/2025 6:56:16 PM, Old:600, New:800
Autoconvert Changed: 5/9/2025 6:56:16 PM, Old:None, New:Ascii with Log
Scan Control Changed: 5/9/2025 6:56:16 PM, Old:Medium, New:Fast
Emission PMT (V): Changed: 5/9/2025 6:56:16 PM, Old: 600, New: 800
Excitation Wavelength Changed: 5/9/2025 6:56:16 PM, Old: 350.00, New: 340.00
Data interval: Changed: 5/9/2025 6:56:16 PM, Old:   1.00, New:   2.00
End Method Modifications

