### DATA:
#
# 2200
#      Q             I(Q)           Error     
9.55869783E-03  4.37068176E+00  7.55251572E-02
9.85281161E-03  3.64757681E+00  6.36797473E-02
1.01469254E-02  3.35285830E+00  5.79199269E-02
1.04410392E-02  3.10040331E+00  4.94878255E-02
1.07351529E-02  2.65551543E+00  4.11819182E-02
1.10292667E-02  2.55039811E+00  3.60212773E-02
1.13233805E-02  2.25791979E+00  3.06809787E-02
1.16174943E-02  2.01823401E+00  2.49908548E-02
1.19116081E-02  1.80405283E+00  2.14222409E-02
1.22057218E-02  1.66456127E+00  2.03206930E-02
1.24998356E-02  1.56876683E+00  1.88163221E-02
1.27939494E-02  1.43996155E+00  1.73855666E-02
1.30880632E-02  1.35630250E+00  1.66987255E-02
1.33821770E-02  1.25517225E+00  1.57438666E-02
1.36762907E-02  1.17045939E+00  1.50071224E-02
1.39704045E-02  1.05947173E+00  1.44645358E-02
1.42645183E-02  1.01753139E+00  1.34834470E-02
1.45586321E-02  9.24370766E-01  1.29285790E-02
1.48527459E-02  8.87040257E-01  1.27031514E-02
1.51468596E-02  8.11873198E-01  1.20083289E-02
1.54409734E-02  8.03076923E-01  1.17365764E-02
1.57350872E-02  7.42365897E-01  1.04259122E-02
1.60292010E-02  6.97601438E-01  1.00335367E-02
1.63233148E-02  6.48362517E-01  9.51419026E-03
1.66174285E-02  6.12497807E-01  8.90205801E-03
1.69115423E-02  5.96290290E-01  8.82159546E-03
1.72056561E-02  5.64584494E-01  8.30002129E-03
1.74997699E-02  5.30097067E-01  7.97792617E-03
1.77938836E-02  5.07675946E-01  7.76095968E-03
1.80879974E-02  4.85383391E-01  7.34586688E-03
1.83821112E-02  4.62612599E-01  7.14507559E-03
1.86762250E-02  4.32796270E-01  6.78734342E-03
1.89703388E-02  4.18129712E-01  6.63614366E-03
1.92644525E-02  4.03752446E-01  6.40957663E-03
1.95585663E-02  3.80930930E-01  6.10290747E-03
1.98526801E-02  3.66304576E-01  6.00418635E-03
2.01467939E-02  3.55887383E-01  5.84207475E-03
2.04409077E-02  3.33469212E-01  5.59288589E-03
2.07350214E-02  3.26771140E-01  5.41915698E-03
2.10291352E-02  3.15357655E-01  5.32367686E-03
2.13232490E-02  3.01904619E-01  5.11776237E-03
2.16173628E-02  2.91880071E-01  5.04668709E-03
2.19114766E-02  2.79225707E-01  4.86585917E-03
2.22055903E-02  2.72039205E-01  4.72344412E-03
2.24997041E-02  2.63232201E-01  4.60255239E-03
2.27938179E-02  2.51606017E-01  4.52408800E-03
2.30879317E-02  2.52376914E-01  4.43586428E-03
2.33820455E-02  2.44169593E-01  4.35185293E-03
2.36761592E-02  2.34678745E-01  4.21767635E-03
2.39702730E-02  2.24905059E-01  4.08783183E-03
2.42643868E-02  2.19610214E-01  4.01957706E-03
2.45585006E-02  2.13271752E-01  3.90880415E-03
2.48526144E-02  2.09119126E-01  3.86595330E-03
2.51467281E-02  2.08935827E-01  3.81462881E-03
2.54408419E-02  1.98462069E-01  3.72276362E-03
2.57349557E-02  1.92490861E-01  3.62032186E-03
2.60290695E-02  1.89287767E-01  3.55004705E-03
2.63231832E-02  1.79577544E-01  3.43755400E-03
2.66172970E-02  1.78075790E-01  3.41444509E-03
2.69114108E-02  1.75295219E-01  3.37668415E-03
2.72055246E-02  1.71499997E-01  3.28293466E-03
2.74996384E-02  1.65720090E-01  3.21923173E-03
2.77937521E-02  1.65995955E-01  3.21309152E-03
2.80878659E-02  1.59298882E-01  3.11811734E-03
