### DATA:
#
# 2200
#      Q             I(Q)           Error     
9.55869783E-03  4.22941017E+00  7.64948279E-02
9.85281161E-03  3.89982653E+00  6.77948818E-02
1.01469254E-02  3.64879560E+00  6.22114502E-02
1.04410392E-02  3.29932475E+00  5.25626130E-02
1.07351529E-02  2.92142987E+00  4.44738828E-02
1.10292667E-02  2.61578679E+00  3.75605077E-02
1.13233805E-02  2.43120646E+00  3.27794030E-02
1.16174943E-02  2.20056438E+00  2.68681385E-02
1.19116081E-02  1.94916677E+00  2.29266156E-02
1.22057218E-02  1.81247854E+00  2.18323376E-02
1.24998356E-02  1.73316479E+00  2.03634165E-02
1.27939494E-02  1.58793223E+00  1.87976919E-02
1.30880632E-02  1.48861051E+00  1.80123653E-02
1.33821770E-02  1.35322833E+00  1.68314073E-02
1.36762907E-02  1.28528166E+00  1.61917415E-02
1.39704045E-02  1.17423606E+00  1.56787951E-02
1.42645183E-02  1.13305449E+00  1.46496613E-02
1.45586321E-02  1.01808023E+00  1.39699169E-02
1.48527459E-02  9.86644030E-01  1.37941586E-02
1.51468596E-02  9.46910501E-01  1.33526698E-02
1.54409734E-02  8.63531649E-01  1.25307525E-02
1.57350872E-02  8.09961677E-01  1.12127569E-02
1.60292010E-02  7.77473688E-01  1.09060723E-02
1.63233148E-02  7.46388614E-01  1.05104307E-02
1.66174285E-02  7.18168378E-01  9.92490724E-03
1.69115423E-02  6.62293255E-01  9.57235042E-03
1.72056561E-02  6.27625465E-01  9.01031867E-03
1.74997699E-02  5.92763186E-01  8.68616533E-03
1.77938836E-02  5.67874491E-01  8.45129974E-03
1.80879974E-02  5.34712434E-01  7.93845300E-03
1.83821112E-02  5.26569307E-01  7.84875918E-03
1.86762250E-02  4.89729404E-01  7.43380748E-03
1.89703388E-02  4.62467194E-01  7.18581257E-03
1.92644525E-02  4.56390768E-01  7.01641617E-03
1.95585663E-02  4.28911924E-01  6.66765124E-03
1.98526801E-02  4.19830769E-01  6.61828229E-03
2.01467939E-02  4.13573682E-01  6.48428965E-03
2.04409077E-02  3.86329144E-01  6.19814871E-03
2.07350214E-02  3.84236276E-01  6.05040230E-03
2.10291352E-02  3.64610165E-01  5.89385629E-03
2.13232490E-02  3.46538693E-01  5.64542040E-03
2.16173628E-02  3.39950740E-01  5.60773304E-03
2.19114766E-02  3.23605955E-01  5.39343245E-03
2.22055903E-02  3.21516484E-01  5.28712757E-03
2.24997041E-02  2.97652632E-01  5.03917271E-03
2.27938179E-02  3.01396757E-01  5.09817805E-03
2.30879317E-02  2.79862136E-01  4.80950857E-03
2.33820455E-02  2.85158455E-01  4.84294258E-03
2.36761592E-02  2.71927714E-01  4.67453385E-03
2.39702730E-02  2.58587778E-01  4.51307511E-03
2.42643868E-02  2.50593185E-01  4.42093238E-03
2.45585006E-02  2.44849876E-01  4.31223447E-03
2.48526144E-02  2.45554999E-01  4.31329617E-03
2.51467281E-02  2.39657193E-01  4.20710258E-03
2.54408419E-02  2.33184338E-01  4.15408285E-03
2.57349557E-02  2.21811935E-01  4.00067214E-03
2.60290695E-02  2.20492244E-01  3.94491618E-03
2.63231832E-02  2.10912883E-01  3.83224688E-03
2.66172970E-02  2.03061193E-01  3.75203812E-03
2.69114108E-02  2.05255464E-01  3.76062002E-03
2.72055246E-02  1.96920484E-01  3.62130604E-03
2.74996384E-02  1.94575295E-01  3.59156448E-03
2.77937521E-02  1.96265712E-01  3.59591306E-03
2.80878659E-02  1.89053610E-01  3.49679822E-03
2.83819797E-02  1.85901567E-01  3.44202830E-03
2.86760935E-02  1.88282922E-01  3.44503229E-03
2.89702073E-02  1.83609977E-01  3.37538845E-03
2.92643210E-02  1.74220234E-01  3.27148917E-03
2.95584348E-02  1.71063885E-01  3.21675465E-03
2.98525486E-02  1.72306970E-01  3.22477450E-03
3.01466624E-02  1.70339480E-01  3.15768435E-03
3.04407762E-02  1.65191948E-01  3.11019109E-03
3.07348899E-02  1.64325148E-01  3.08894459E-03
3.10290037E-02  1.59108549E-01  2.99353013E-03
3.13231175E-02  1.53872162E-01  2.97674537E-03
3.16172313E-02  1.55387864E-01  2.93812877E-03
3.19113451E-02  1.51321456E-01  2.91379867E-03
3.22054588E-02  1.56792596E-01  2.94422591E-03
3.24995726E-02  1.48392946E-01  2.84373225E-03
3.27936864E-02  1.47910476E-01  2.86891963E-03
3.30878002E-02  1.48900136E-01  2.84562656E-03
3.33819140E-02  1.43442303E-01  2.79278727E-03
3.36760277E-02  1.42847255E-01  2.78015784E-03
3.39701415E-02  1.44582078E-01  2.77682603E-03
3.42642553E-02  1.39227524E-01  2.72576115E-03
3.45583691E-02  1.41024187E-01  2.73691211E-03
3.48524828E-02  1.39535248E-01  2.73440359E-03
3.51465966E-02  1.40089825E-01  2.70909606E-03
3.54407104E-02  1.40842751E-01  2.73441477E-03
3.57348242E-02  1.29970565E-01  2.62307143E-03
3.60289380E-02  1.35126829E-01  2.65361019E-03
3.63230517E-02  1.38311535E-01  2.68577528E-03
3.66171655E-02  1.40569180E-01  2.70926277E-03
3.69112793E-02  1.29948899E-01  2.60784640E-03
3.72053931E-02  1.30755246E-01  2.60931836E-03
3.74995069E-02  1.33398384E-01  2.60913535E-03
3.77936206E-02  1.32755637E-01  2.62174639E-03
3.80877344E-02  1.30103931E-01  2.55992613E-03
3.83818482E-02  1.31459668E-01  2.60583241E-03
3.86759620E-02  1.25328273E-01  2.51661800E-03
3.89700758E-02  1.27238691E-01  2.53512990E-03
3.92641895E-02  1.28147751E-01  2.54970673E-03
3.95583033E-02  1.23902731E-01  2.49100244E-03
3.98524171E-02  1.27738833E-01  2.53058295E-03
4.01465309E-02  1.31285608E-01  2.55220360E-03
4.04406447E-02  1.25257134E-01  2.49959948E-03
4.07347584E-02  1.27140567E-01  2.52311327E-03
4.10288722E-02  1.28700674E-01  2.50766310E-03
4.13229860E-02  1.24294057E-01  2.47402466E-03
4.16170998E-02  1.23812966E-01  2.45039840E-03
4.19112136E-02  1.24379277E-01  2.46160640E-03
4.22053273E-02  1.25834659E-01  2.47543096E-03
4.24994411E-02  1.26622126E-01  2.46342155E-03
4.27935549E-02  1.26619190E-01  2.46897782E-03
4.30876687E-02  1.29800066E-01  2.48376885E-03
4.33817824E-02  1.25996351E-01  2.46572355E-03
4.36758962E-02  1.23624027E-01  2.41517788E-03
4.39700100E-02  1.27104178E-01  2.44243955E-03
4.42641238E-02  1.25921413E-01  2.44469661E-03
4.45582376E-02  1.29961818E-01  2.45338073E-03
4.48523513E-02  1.29485518E-01  2.48871744E-03
4.51464651E-02  1.29394174E-01  2.43747584E-03
4.54405789E-02  1.27198935E-01  2.42381613E-03
4.57346927E-02  1.33737996E-01  2.47577368E-03
4.60288065E-02  1.34266734E-01  2.48002238E-03
4.63229202E-02  1.31043389E-01  2.46593775E-03
4.66170340E-02  1.25907853E-01  2.37475964E-03
4.69111478E-02  1.33828640E-01  2.46899761E-03
4.72052616E-02  1.34808540E-01  2.46823928E-03
4.74993754E-02  1.34188250E-01  2.46309140E-03
4.77934891E-02  1.31978288E-01  2.43277801E-03
4.80876029E-02  1.35027960E-01  2.44332780E-03
4.83817167E-02  1.37677848E-01  2.47873436E-03
4.86758305E-02  1.36378169E-01  2.46175565E-03
4.89699443E-02  1.37190893E-01  2.44398951E-03
4.92640580E-02  1.40544668E-01  2.49898341E-03
4.95581718E-02  1.40869826E-01  2.45893886E-03
4.98522856E-02  1.43336460E-01  2.51737610E-03
5.01463994E-02  1.39323473E-01  2.45561800E-03
5.04405132E-02  1.42884105E-01  2.47308938E-03
5.07346269E-02  1.44250855E-01  2.50956160E-03
5.10287407E-02  1.46941245E-01  2.48730602E-03
5.13228545E-02  1.49160862E-01  2.55132467E-03
5.16169683E-02  1.52726933E-01  2.52691447E-03
5.19110820E-02  1.50689274E-01  2.51672859E-03
5.22051958E-02  1.48692042E-01  2.50691362E-03
5.24993096E-02  1.52399749E-01  2.53087142E-03
5.27934234E-02  1.60089269E-01  2.60281726E-03
5.30875372E-02  1.59076169E-01  2.56340625E-03
5.33816509E-02  1.62111238E-01  2.58002686E-03
5.36757647E-02  1.59781545E-01  2.57578120E-03
5.39698785E-02  1.63805038E-01  2.59615737E-03
5.42639923E-02  1.66144505E-01  2.60652788E-03
5.45581061E-02  1.66577443E-01  2.59896810E-03
5.48522198E-02  1.69004470E-01  2.62821186E-03
5.51463336E-02  1.70709059E-01  2.62629287E-03
5.54404474E-02  1.77805558E-01  2.66601541E-03
5.57345612E-02  1.80442706E-01  2.70525413E-03
5.60286750E-02  1.79594070E-01  2.66952952E-03
5.63227887E-02  1.80538163E-01  2.71003693E-03
5.66169025E-02  1.85064286E-01  2.69342959E-03
5.69110163E-02  1.79887831E-01  2.66683241E-03
5.72051301E-02  1.92862496E-01  2.77708471E-03
5.74992439E-02  1.92370906E-01  2.72462517E-03
5.77933576E-02  1.91697791E-01  2.75945431E-03
5.80874714E-02  1.97633669E-01  2.76471558E-03
5.83815852E-02  1.99464366E-01  2.78596720E-03
5.86756990E-02  2.04510719E-01  2.82817776E-03
5.89698128E-02  2.09331051E-01  2.82338937E-03
5.92639265E-02  2.13659748E-01  2.87811062E-03
5.95580403E-02  2.13351071E-01  2.84670596E-03
5.98521541E-02  2.20190123E-01  2.88999267E-03
6.01462679E-02  2.23539308E-01  2.93344492E-03
6.04403816E-02  2.24798843E-01  2.90674646E-03
6.07344954E-02  2.32632264E-01  2.97052693E-03
6.10286092E-02  2.39565521E-01  3.00019956E-03
6.13227230E-02  2.47205213E-01  3.02983052E-03
6.16168368E-02  2.48979211E-01  3.05317901E-03
6.19109505E-02  2.55705714E-01  3.07610678E-03
6.22050643E-02  2.61908382E-01  3.12616397E-03
6.24991781E-02  2.67274469E-01  3.13401222E-03
6.27932919E-02  2.69876629E-01  3.16757499E-03
6.30874057E-02  2.80440539E-01  3.18826572E-03
6.33815194E-02  2.84200400E-01  3.21690505E-03
6.36756332E-02  2.97840476E-01  3.31220217E-03
6.39697470E-02  3.04905713E-01  3.31125967E-03
6.42638608E-02  3.15940082E-01  3.40153393E-03
6.45579746E-02  3.21906060E-01  3.38137359E-03
6.48520883E-02  3.32364410E-01  3.45520023E-03
6.51462021E-02  3.47388327E-01  3.52646690E-03
6.54403159E-02  3.55425298E-01  3.56102549E-03
6.57344297E-02  3.70479167E-01  3.64178745E-03
6.60285435E-02  3.88761491E-01  3.68929631E-03
6.63226572E-02  4.01413441E-01  3.77384294E-03
6.66167710E-02  4.11070228E-01  3.81471869E-03
6.69108848E-02  4.30792391E-01  3.88148497E-03
6.72049986E-02  4.53176826E-01  3.97233246E-03
6.74991124E-02  4.76092875E-01  4.06486634E-03
6.77932261E-02  4.93916899E-01  4.14704951E-03
6.80873399E-02  5.22501349E-01  4.25374648E-03
6.83814537E-02  5.50948739E-01  4.35617706E-03
6.86755675E-02  5.77121437E-01  4.45603812E-03
6.89696812E-02  6.15571439E-01  4.56279377E-03
6.92637950E-02  6.49617910E-01  4.74047428E-03
6.95579088E-02  6.82350159E-01  4.80647478E-03
6.98520226E-02  7.20025241E-01  4.93214279E-03
7.01461364E-02  7.66534567E-01  5.10796066E-03
7.04402501E-02  8.12939525E-01  5.21586835E-03
7.07343639E-02  8.61061990E-01  5.41666243E-03
7.10284777E-02  9.24923241E-01  5.52589493E-03
7.13225915E-02  9.90789413E-01  5.74315153E-03
7.16167053E-02  1.05691564E+00  5.96613530E-03
7.19108190E-02  1.14823234E+00  6.15375722E-03
7.22049328E-02  1.23590589E+00  6.41771453E-03
7.24990466E-02  1.34779167E+00  6.62603555E-03
7.27931604E-02  1.46852112E+00  6.94493437E-03
7.30872742E-02  1.58928645E+00  7.23232748E-03
7.33813879E-02  1.74886215E+00  7.54781067E-03
7.36755017E-02  1.90592062E+00  7.86738005E-03
7.39696155E-02  2.11181355E+00  8.25620349E-03
7.42637293E-02  2.31243229E+00  8.67473986E-03
7.45578431E-02  2.53777337E+00  9.07830987E-03
7.48519568E-02  2.74885821E+00  9.36743151E-03
7.51460706E-02  3.02052641E+00  9.80468281E-03
7.54401844E-02  3.25916362E+00  1.01846373E-02
7.57342982E-02  3.46873951E+00  1.05759660E-02
7.60284120E-02  3.64182901E+00  1.07072331E-02
7.63225257E-02  3.76341724E+00  1.09551735E-02
7.66166395E-02  3.75925398E+00  1.09163541E-02
